Rule,Criteria,Trigger Functions,Trigger Rules,Text,Options,Query All Concept,Query Best Concept,Query Rand Best Concept,Query Old Best Concept,Apply Facts
defaultPlayerStartWalkerOptionA,"concept: optionSelected, option: defaultPlayerStartWalkerOptionA",removeMoraleWithFlair: 5,,"You ignore the gold button and exchange a few pleasantries, culminating in a firm handshake. You then refer to his service record; his time as a soldier on Amouris, his time on various starships. You note that he gives short answers with little explanation when you ask questions, as if he is trying to avoid the topic entirely. ",Continue: defaultPlayerStartWalkerContinue,,,,,
defaultPlayerStartWalkerOptionB,"concept: optionSelected, option: defaultPlayerStartWalkerOptionB",addMoraleWithFlair: 5,,"You tell him that the degradation of his uniform is 'unacceptable' and 'disgraceful for a senior officer'. His face twitches and he apologises, soon responding by revealing that the starship has been short staffed and overworked, and that his uniform had regrettably become subjacent to his duties. He presents his arguments well, so you nod and simply demand that he fixes the issue. You note that the fluidity of his arguments likely denotes experience, and thus expectation, of being talked down by higher ranks.",Continue: defaultPlayerStartWalkerContinue,,,,,
defaultPlayerStartWalkerContinue,"concept: optionSelected, option: defaultPlayerStartWalkerContinue",,,Walker takes you on an expedition to the bridge while marching and persistently checking blind spots. He gives brief descriptions of key parts of the ship in a heavy accent. You stop to meet Chief Engineer Jiya and Medical Officer Febris en route. You become aquainted with First Officer Rui at the end of your pilgrimage.,Exit:defaultLeave,,,,,
,,,,,,,,,,
defaultPlayerStartJiyaResponse,concept: defaultPlayerStartPortalResponse,,,"You are greeted by one Elektra Jiya~Hefferan, your new Chief Engineer. She is old and time-worn, with thin grey hair whose existence may only be described as 'stubborn'. She also stands tall, flanked and infused with a rugged exoskeleton, most pronounced as it terminates above her shoulders and wraps around her forearms. You surprise her mid pace, and she quickly offers a mechanical hand towards you.","Shake her hand and converse: defaultPlayerStartJiyaOptionA, Reject her offer and get to business: defaultPlayerStartJiyaOptionB",,,,,
defaultPlayerStartJiyaOptionA,"concept: optionSelected, option: defaultPlayerStartJiyaOptionA",removeMoraleWithFlair: 5,,"You shake her outstretched hand, and then segue into conversation about her service record. She looks visibly disgruntled as you mention the double-digit pages of denunciations made over her career. She clarifies that the condemnation was a result of 'the boss being annoyed that I took initiative'. You note that the old-timer is exceptional at her work, as per an equal quantity of pages describing her exploits, but is uninhibited by command structure when it comes to her actions.",Continue: defaultPlayerStartJiyaContinue,,,,,
defaultPlayerStartJiyaOptionB,"concept: optionSelected, option: defaultPlayerStartJiyaOptionB",addMoraleWithFlair: 5,,"You wave away her outstretched hand, and gesture for her to walk with you - she appears surprised. You ask routine maintenance questions, which she answers succinctly. You get the impression, and thus note, that she is enthralled by her work and considers herself to not have time for anything else.",Continue: defaultPlayerStartJiyaContinue,,,,,
defaultPlayerStartJiyaContinue,"concept: optionSelected, option: defaultPlayerStartJiyaContinue",,,"She gives you directions to the bridge, says that she is 'needed in Engineering', and scurries away in a timeframe which leaves you astounded. You rely on junior officers to find and introduce yourself to Medical Officer Febris and Security Officer Walker, and meet First Officer Rui on the bridge.",Exit:defaultLeave,,,,,
,,,,,,,,,,
defaultPlayerStartRuiResponse,concept: defaultPlayerStartPortalResponse,,,"You are greeted by one Luam Rui, your new First Officer. He is of average height and fit, perfect uniform, and his upper quartile length black hair is bordering a dress code violation. He offers you a haphazard salute as you step onto the deck. You verbally exchange a tally of traditions, which he nails. He offers for you to walk with him, which you oblige.","Bring up his fast-tracked service record:defaultPlayerStartRuiOptionA, Ask about the starship:defaultPlayerStartRuiOptionB",,,,,
defaultPlayerStartRuiOptionA,"concept: optionSelected, option: defaultPlayerStartRuiOptionA",removeMoraleWithFlair: 5,,"Rui looks sour as you recount his fairly short and fairly uneventful career. You append a few positive words from his file to bring solace. He justifies his rank with empty promises and by stating personal achievements. As you both round the corner to the bridge walkway, you ask him routine questions about the ships status - he responds thoroughly. You note that he is competent, although has yet to see the worst that space has to offer.",Continue: defaultPlayerStartRuiContinue,,,,,
defaultPlayerStartRuiOptionB,"concept: optionSelected, option: defaultPlayerStartRuiOptionB",addMoraleWithFlair: 5,,"Rui happily describes the ships departments, structure, history and crew with poorly suppressed passion - at times, he nearly sounds like he is attempting to sell it to you. You get the impression that your First Officer was not present for the ships worst trials and tribulations - in fact, he describes them as if they are ancient knowledge. You note that he is competent and driven, yet lacking in experience.",Continue: defaultPlayerStartRuiContinue,,,,,
defaultPlayerStartRuiContinue,"concept: optionSelected, option: defaultPlayerStartRuiContinue",,,"He shows you the bridge, and then sick bay, main engineering and the armory, where you meet Medical Officer Febris, Chief Engineer Jiya and Security Officer Walker, respectively.",Exit:defaultLeave,,,,,
,,,,,,,,,,
defaultPlayerStartFebrisResponse,concept: defaultPlayerStartPortalResponse,,,"You are greeted by one Jane Febris, your new Chief Medical Officer. She has a rough ponytail, dark skin, a perfectly tailored uniform and a lab coat. She smiles sincerely and shakes your hand as you step onto the deck, then briskly offers you a tour of the ship, which you accept.","Ask about the medical team aboard: defaultPlayerStartFebrisOptionA, Ask about her research into cell modification: defaultPlayerStartFebrisOptionB",,,,,
defaultPlayerStartFebrisOptionA,"concept: optionSelected, option: defaultPlayerStartFebrisOptionA",removeMoraleWithFlair: 5,,"She appears less than happy when asked to talk about her subordinates. She speaks highly of her Senior Officer, and the expertise of several nurses, but by delicately balancing her words between praise and condemnation, she indicates that her team as a whole is only ‘mostly adept’, and ‘rather competent’. You note that something is either happening between her and a member of the medical department, or between the members of the department in its entirety.",Continue: defaultPlayerStartFebrisContinue,,,,,
defaultPlayerStartFebrisOptionB,"concept: optionSelected, option: defaultPlayerStartFebrisOptionB",addMoraleWithFlair: 5,,"She easily describes the fundamentals of her research. However, once you begin asking more specific questions, her knowledge quickly fails; she deliberates over which type of protein was integral to the third phase of her process, the exact impact of certain stimuli on the interventional trial, et al. You end up completing her sentences, and she quickly grows flustered. You note that she does not have the best memory.",Continue: defaultPlayerStartFebrisContinue,,,,,
defaultPlayerStartFebrisContinue,"concept: optionSelected, option: defaultPlayerStartFebrisContinue",,,"Febris takes you around the hearts of the main subdivisions aboard - besides sick bay, which she seemingly forgets. You meet Chief Engineer Jiya in main engineering, Security Officer Walker in the armoury and First Officer Rui on the bridge. ",Exit:defaultLeave,,,,,
,,,,,,,,,,
playerWinOpenDialog,concept: playerWin,openDialog: null,,,Continue: playerWinStoryConclusion,,addPlayerWinFlair,,,
playerWinFlair_WORMHOLE,"concept: addPlayerWinFlair, win_context: WORMHOLE",,,"The [i]$player_ship_name[/i] crosses wormhole geometry. The proximity alarm blares as the navigator dodges filaments emerging from the circumferance of the interior. Successful in your mission, you take a deep breath. ",,,,,,
playerWinFlair_RIFT_DRIVER,"concept: addPlayerWinFlair, win_context: RIFT_DRIVER",,,"The [i]$player_ship_name[/i] travels on a blanket of space-time. The bridge flurries with activity as every aspect of the novel experience is thoroughly recorded. Various warnings toll at random as the ship becomes increasingly confused over its situation. Successful in your mission, you take a deep breath.",,,,,,
playerWinStoryConclusion,"concept: optionSelected, option: playerWinStoryConclusion",,,,Exit:defaultLeave,,playerWinStoryConclusionDispatch,,,
playerWinStoryConclusionGeneric,concept: playerWinStoryConclusionDispatch,,,"You think back to all you have seen on your journey, and the challenges that await you on the way home.",,,,,,
playerWinStoryConclusionConglomerate,"concept: playerWinStoryConclusionDispatch, conglomerate_storyline_complete: true",,,"You think back to the Conglomerate. Evidently, there is a new contender on the galactic stage. The words of the Emissary are still heavy on your mind. You cannot decide if life taking such a form is incredible or horrifying.",,,,,,
playerWinStoryConclusionDetective,"concept: playerWinStoryConclusionDispatch, detective_storyline_complete: true",,,"You think back to the Detective. A being which could pause time and evidently change reality, yet refused to truely intefere with your progress towards its physical location. You realise that throughout your travels, you were astronomically lucky. You also realise that you have changed. You wonder whether your journey was truely random chance, or if the Detective actively manipulated it for an unknown motive.",,,,,,
,,,,,,,,,,
playerMutinyLose,"concept: optionSelected, option: playerMutinyLose","closeDialog: LOSE_MUTINY, clearFact: mutiny_type",,,,,,,,
playerMutinyWin,"concept: optionSelected, option: playerMutinyWin","closeDialog: WIN_MUTINY, clearFact: mutiny_type",,,,,,,,
,,,,,,,,,,
playerMutinyOpenDialog,concept: playerMutiny,"openDialog: null, playMusic: mutiny_start.wav",,"Your actions over the last days, months and years have prompted a mutiny against your command. It will transpire in the coming hours. As you only have limited information from scattered loyalists, it is presently of an unknown ideology, size and composition. The bridge is unusually quiet. Your first officer stands across from you. Everyone in the room knows that by the end of the day, there will be dead bodies on the deck, and you might be one of them.",Gather information: playerMutinyPortal,,,,,
playerMutinyPortal,"concept: optionSelected, option: playerMutinyPortal",playSoundEffect: strange.wav,,,,,playerMutinyPortalDispatch,,,
playerMutinyDecksResponse,"concept: playerMutinyPortalDispatch, player_SECURITY_OFFICER_standing: >=75",,,You receive a report that the mutiny is concentrated in the lower decks. It is led by a ship's committee of junior officers and seems to be divided in rationale - merely an organised riot. Any action taken against the mutiny could be the spark that leads to a collective breakdown in discipline. Your success is tied to luck and support from more experienced officers.,,populateMutinyOptions,,,,mutiny_type: lower_decks
playerMutinyAdminResponse,"concept: playerMutinyPortalDispatch, player_SECURITY_OFFICER_standing: >25",,,"You receive a report that the mutiny is concentrated amid-decks. It is well organised and led by an administrative organ with clearly defined justification and purpose. The spark of revolution has already been lit and must be snuffed out immediately to diminish support from both junior and senior officers. Your success is tied mainly to luck, as anyone could be working against you.",,populateMutinyOptions,,,,mutiny_type: administrative
playerMutinyLegalResponse,"concept: playerMutinyPortalDispatch, player_SECURITY_OFFICER_standing: <=25",,,"You receive a report that the mutiny is concentrated in the ship's seniority. It is led by the officers closest to you. It is well organsied with a common purpose, and worse, it is a legal transfer of power as long as you are deemed 'unfit to stay in command' by your associates. Your success is tied to luck, and the odds are stacked against you.",,populateMutinyOptions,,,,mutiny_type: executive_legal
,,,,,,,,,,
mutinyAllWaitOption,concept: populateMutinyOptions,,,,Secure key positions and wait: playerMutinyWaitPortal,,,,,
#mutinyDecksWalkerSuppressOption,"concept: populateMutinyOptions, mutiny_type: lower_decks",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
# waiting is one of many options which is presented to you! different mutinies have different options involving senior staff,,,,,,,,,,
playerMutinyWaitPortal,"concept: optionSelected, option: playerMutinyWaitPortal",,,,,,,playerMutinyWaitPortalDispatch,,
playerMutinyWaitDecksResponseA,"concept: playerMutinyWaitPortalDispatch, mutiny_type: lower_decks, randf: >=0.25","killEveryCharacterWithFlair: null, playSoundEffect: gunshot.wav, playMusic: mutiny_survive.wav",,"You order loyalists to secure key points and resign yourself to your fate. The riots in the lower decks last for hours. The momentum slows and eventually stops after several crewmen die with no key positions secured. Loyalists begin making targeted arrests in an effort to find members of the ship's committee. It quickly becomes apparent that all of your senior staff - including your first officer, who you sent to control the riots - were killed in retribution. Nonetheless, you breathe a sigh of relief.",Clean up the mess: playerMutinyWin,,,,,
playerMutinyWaitDecksResponseB,"concept: playerMutinyWaitPortalDispatch, mutiny_type: lower_decks, randf: <0.25",playSoundEffect: gunfire.wav,,"You order loyalists to secure key points and resign yourself to your fate. The riots in the lower decks last for hours. After several crewmen die, the momentum dramatically escalates. Defences fall apart and loyalists begin switching sides as they are overrun by an avalanche of bodies. You hear the cacophony of voices approach the bridge, gunshots from the few marines willing to sacrifice their lives for you, and soon you are pulled to the ground by the mob.",Exit: playerMutinyLose,,,,,
playerMutinyWaitAdminResponseA,"concept: playerMutinyWaitPortalDispatch, mutiny_type: administrative, randf: >=0.5","killEveryCharacterWithFlair: null, playSoundEffect: gunshot.wav, playMusic: mutiny_survive.wav",,"You have loyalists secure key points around the ship and resign yourself to your fate. Gunfire erupts throughout the vessel, and for hours the command deck, armory and engine room are subjected to regular bombardment. Loyalists miraculously fend off the mutineers for the entire time. During the many hours of infighting, a brief escapade breaks out on the bridge - two headstrong junior officers attempt to hold the entire room hostage. They are put down by loyal marines, but not before your first officer is shot and killed. Eventually, the mutineers decide the losses are too high and every crewman involved sheepishly returns to their stations. It is discovered that all of your senior staff were killed on the front lines or on the bridge. Nonetheless, you breathe a sigh of relief.",Clean up the mess: playerMutinyWin,,,,,
playerMutinyWaitAdminResponseB,"concept: playerMutinyWaitPortalDispatch, mutiny_type: administrative, randf: <0.5",playSoundEffect: gunfire.wav,,"You have loyalists secure key points around the ship and resign yourself to your fate. Gunfire erupts throughout the vessel, and for hours the command deck, armory and engine room are subjected to regular bombardment. Eventually, loyalist forces are depleted and either surrender or are overrun. The arrival of the administrative head is preceded by a racket of gunshots, and no marines on the bridge dare fire when given the choice to. You decide to stare blankly at your adversaries as they approach the central board to arrest you. You are then brought to the airlock for execution.",Exit: playerMutinyLose,,,,,
playerMutinyWaitLegalResponseA,"concept: playerMutinyWaitPortalDispatch, mutiny_type: executive_legal, randf: >=0.75","killEveryCharacterWithFlair: null, playSoundEffect: gunshot.wav, playMusic: mutiny_survive.wav",,"You guess and allocate supposed loyalists to key points and resign yourself to your fate. Five minutes later, several members of the command crew suddenly arm themselves and a firefight promptly breaks out around you. You are shot twice and drop to the deck during the ordeal. Some amount of time later, one of your personal marines lends you a helping hand. The mutineers - including all of your senior staff - are dead, and with the death of the mutinies organisational element, you have won. You breathe a sigh of relief.",Clean up the mess: playerMutinyWin,,,,,
playerMutinyWaitLegalResponseB,"concept: playerMutinyWaitPortalDispatch, mutiny_type: executive_legal, randf: <0.75",,,You guess and allocate supposed loyalists to key points and resign yourself to your fate. It is only five minutes before several members of the command crew step forward - armed - and arrest you. You are transferred to the brig while the mutineers follow proper protocol regarding the transfer of power. You are then brought to the airlock for execution.,Exit: playerMutinyLose,,,,,
,,,,,,,,,,
playerDeathOpenDialog,concept: playerDeath,"openDialog: null, objectiveFailure: reachNewEden",,You are dead.,Exit:defaultLeave,,,,,
,,,,,,,,,,
# core entity interactions,,,,,,,,,,
wormholeOpenDialog,"concept: followingBody, type: WORMHOLE","openDialog: null, setImage: wormhole.png",defaultApproachMessage,,"Enter the wormhole:enterWormhole, Leave:defaultLeave",,"tryWormholeAVFlair, tryWormholeESDFlair",,,
wormholeTryAVFlairResponse,"concept: tryWormholeAVFlair, system_civilized: true, player_AUDIO_VISUALIZER_unlocked: true, pending_audio_profiles: true",,,"You are informed that select planetary audio data - notorious for being a plague to on-board databanks - has strayed too far from its source, and subsequent bastions of civilization will likely refuse its delivery. Unless the data is sold within the current star system, the databanks will be purged following the traversal of [i]$name[/i].",,,,,,
wormholeTryESDFlairResponse,"concept: tryWormholeESDFlair, dest_system_scenario_classification: UNKNOWN_DANGER",playSoundEffect: warning.wav,,Patterns of atypical returns from the wormhole suggest that an [color=yellow]unknown danger[/color] is probably within or just on the other side.,,,,,,
enterWormhole,"concept: optionSelected, option: enterWormhole",closeDialog: ENTER_WORMHOLE,,,,,,,,
wormholeDisabledOpenDialog,"concept: followingBody, type: WORMHOLE, wormhole_disabled: true","openDialog: null, setImage: wormhole.png",defaultApproachMessage,"""This wormhole leads to a star system that is not on our route,"" the navigator on-deck informs you. ""We cannot risk traversal - the cost of recalculating passage is far too computationally expensive.""",Leave:defaultLeave,,,,,
,,,,,,,,,,
spaceEntityLRSOverride,"concept: followingBody, type: SPACE_ENTITY, player_LONG_RANGE_SCOPES_unlocked: true",openLRSApplicable: null,,,,,,,,
spaceEntityMAOverride,"concept: followingBody, type: SPACE_ENTITY, player_MIGRATION_ANALYSIS_unlocked: true, migration_analysis_available: true",openDialog: null,defaultApproachMessage,,Leave: defaultHardLeave,,,spaceEntityMADispatch,,
spaceEntityMASuccessAliasA,concept: spaceEntityMADispatch,,spaceEntityMASuccess,,,,,,,
spaceEntityMASuccessAliasB,concept: spaceEntityMADispatch,,spaceEntityMASuccess,,,,,,,
spaceEntityMASuccess,concept: spaceEntityMADispatch,discoverRandomBodyWithFlair: $seed,,The module's processing suite predicts the location and characteristics of a body.,,,,,,
spaceEntityMAFailure,concept: spaceEntityMADispatch,,,The module's processing suite fails to find anything.,,,,,,
spaceEntityOpenDialog,"concept: followingBody, type: SPACE_ENTITY, player_LONG_RANGE_SCOPES_unlocked: false",openDialog: null,defaultApproachMessage,A scope view of the phenomena is present on a junior officers console. The sight to behold is a collection of fuzzy white dots against a parallax of stars.,"Ask if it can be made sharper:spaceEntityContinue, Leave: defaultLeave",,,,,
spaceEntityContinue,"concept: optionSelected, option: spaceEntityContinue",,,"You ask if the scopes can be re-calibrated for a more distinct display. ""No $player_prefix_lower,"" the junior officer replies, ""this is the sharpest we have been able to make it with the scopes on board... of course, we could get closer, but the Codex says otherwise."" You note that the aquisition of [color=yellow]long range scope technology[/color] would allow for data to be collected from the phenomena. ",Leave:defaultLeave,,,,,
,,,,,,,,,,
CAHardLeave,"concept: optionSelected, option: CAHardLeave","closeDialog: HARD_LEAVE, playDiscoveryThemeOrMotif: null",,,,,,,,
planetGLSOverride,"concept: followingBody, type: PLANET, missing_GL: true, player_GAS_LAYER_SURVEYOR_unlocked: true",openGLSApplicable: null,,,,,,,,
planetAVOverride,"concept: followingBody, type: PLANET, missing_AO: true, player_AUDIO_VISUALIZER_unlocked: true",openAVApplicable: null,,,,,,,,
planetOpenDialog,"concept: followingBody, type: PLANET","openDialog: null, setImage: approach_planet.png, getPlanetDescriptionWithFlair: $planet_type",defaultApproachMessage,,Leave:defaultLeave,tryPlanetFlairs,,,,
planetTryAVFlairResponse,"concept: tryPlanetFlairs, missing_AO: true",,,"You are informed that the planet is emitting anomalous waveforms, and note that it would be a quality target for [color=yellow]audio visualization technology[/color], which could allow for a deeper analysis into its class. ",,,,,,
planetTryGLSFlairResponse,"concept: tryPlanetFlairs, missing_GL: true",,,You are informed that sensors are having difficulty penetrating the planet's upper atmosphere. You note that the aquisition of [color=yellow]gas layer surveying technology[/color] would allow for a deeper analysis into the composition and layout of its stratosphere.,,,,,,
,,,,,,,,,,
spaceAnomalyOpenDialog,"concept: followingBody, type: SPACE_ANOMALY","openDialog: null, setImage: approach_glint.png",defaultApproachMessage,,Leave:defaultLeave,,,,,
,,,,,,,,,,
starCCSOverride,"concept: followingBody, type: STAR, player_CRAM_CELL_SYNTHESIS_unlocked: true, cram_cell_synthesis_available: true","openDialog: null, getStarDescriptionWithFlair: $star_type","defaultApproachMessage, starCCSCarry",,Leave: defaultHardLeave,,,,,
starCCSCarry,concept: starCCSCarry,getCSSOutcomeWithFlair: $star_type,,,,,,,,
starOpenDialog,"concept: followingBody, type: STAR","openDialog: null, getStarDescriptionWithFlair: $star_type",defaultApproachMessage,,Leave:defaultLeave,,,,,
,,,,,,,,,,
unitLeave,"concept: optionSelected, option: unitLeave","closeDialog: null, plotRadio: unit_leave.tres",,,,,,,,
unitHardLeave,"concept: optionSelected, option: unitHardLeave","closeDialog: HARD_LEAVE, plotRadio: unit_leave.tres",,,,,,,,
unitSoftLeave,"concept: optionSelected, option: unitSoftLeave","closeDialog: SOFT_LEAVE, plotRadio: unit_leave.tres",,,,,,,,
shipApproachMessage,concept: shipApproachMessage,,,The distance between your ship and the [i]$name[/i] closes.,,,,,,
shipOpenDialog,"concept: followingBody, type: SHIP",openDialog: null,shipApproachMessage,,Leave:unitLeave,,addShipAffiliationFlair,,,
shipAffiliationFlair_EXECUTIVE,"concept: addShipAffiliationFlair, unit_affiliation: PROVISIONAL_EXECUTIVE",,,"Receiving up-to-date identification codes, AIS has since identified the ship as being affiliated with the [color=blue]Provisional Executive[/color].",,,,,,
shipAffiliationFlair_LOCAL,"concept: addShipAffiliationFlair, unit_affiliation: LOCAL_CIVILIZATION",,,"Having cracked unknown identification codes, AIS has since identified the ship as being affiliated with a [color=blue]local civilization[/color]. ",,,,,,
shipAffiliationFlair_MARAUDER,"concept: addShipAffiliationFlair, unit_affiliation: MARAUDER",,,"AIS has not received any identification codes, and has since identified the ship as being affiliated with [color=orange]marauders[/color].",,,,,,
,,,,,,,,,,
mineOpenDialog,"concept: followingBody, type: MINE","openDialog: null, playMusic: combat_low.wav",defaultApproachMessage,"Crew look at you hopelessly from every position on the bridge. Your instruction to fly directly towards a mine was begrudgingly followed by the helmsman out of respect for the chain of command. Now the mine's proximity fuse burns, and your company awaits the master plan which you undoubtedly have.",Leave:unitLeave,,,,,
,,,,,,,,,,
netspaceTransmitterOpenDialog,"concept: followingBody, type: CUSTOM, custom_tag: netspaceTransmitter","openDialog: null, setImage: satellite_dish.jpg, playMusic: netspace.ogg",defaultApproachMessage,"This installation uses the poorly understood Burton’s antenna to beam information through Netspace, and pull information back into real space at its destination using controlled wave cascades. In Netspace, universal constants differ in some way, allowing the speed of transmission to be beyond relativistic. Burton’s Antennae are used in the Core for nearly real time communication between star systems, but are too dangerous and energy intensive to be mounted on starships. The installation seems to hum as it pivots several satellite dishes to receive new signals.",Leave:defaultLeave,,,,,
,,,,,,,,,,
"#ALL valid station classifications: STANDARD, PIRATE, ABANDONED, COVERUP, DEBRIS, ABANDONED_OPERATIONAL, ABANDONED_BACKROOMS, PARTIALLY_SALVAGED, BIRD",,,,,,,,,,
#Note that DEBRIS is considered an 'abandoned' station,,,,,,,,,,
stationApproachMessage,concept: stationApproachMessage,,,Your ship approaches the location of a space station defined in native star charts.,,,,,,
stationOpenDialog,"concept: followingBody, type: STATION",openDialog: null,stationApproachMessage,,Leave:defaultLeave,populateStationOptions,"addStationImage, addStationFlair, addStationMusic",,,
,,,,,,,,,,
stationImage_STANDARD,"concept: addStationImage, station_classification: STANDARD",setImage: station_STANDARD.png,,,,,,,,
stationImage_PIRATE,"concept: addStationImage, station_classification: PIRATE",setImage: station_PIRATE.png,,,,,,,,
stationImage_DEBRIS,"concept: addStationImage, station_classification: DEBRIS",setImage: debris_field.jpg,,,,,,,,
stationImageGenericAbandoned,"concept: addStationImage, station_abandoned: true",setImage: station_abandoned.jpg,,,,,,,,
,,,,,,,,,,
stationMusic_STANDARD,"concept: addStationMusic, station_classification: STANDARD",playMusic: station_STANDARD.wav,,,,,,,,
stationMusicGeneric,concept: addStationMusic,playMusic: operation.ogg,,,,,,,,
,,,,,,,,,,
stationFlair_STANDARD,"concept: addStationFlair, station_classification: STANDARD",,,"[i]$name[/i] establishes communications. It is a behemoth port glistening with power and influence, representing one of the rare successful colonisation initatives of the Late Proliferation Period. Its inhabitants are well aware of Arata's theorem, and may even be a member of the provisional assembly. In any case, they are willing to trade nanites for repairs and use of their on-board synthesis manufactories.",,,,,,
stationFlair_PIRATE,"concept: addStationFlair, station_classification: PIRATE",,,"[i]$name[/i] establishes communications. It is a large port which appears to have been designed purely out of necessity, representing one of the few semi-successful colonisation initatives of the Late Proliferation Period. Its inhabitants are well aware of Arata's theorem and the provisional government, but are too smothered by internal issues to take advantage of either. Nontheless, they may be willing to trade nanites for repairs and use of their on-board synthesis manufactories. You note that by trading, you run the risk of being caught in such 'internal issues'.",,,,,,
stationFlair_DEBRIS,"concept: addStationFlair, station_classification: DEBRIS",,,[i]$name[/i] doesn't attempt to establish communications. Sensors soon detect an expanding debris field. The remains of this port represent the numerous failed colonisation initatives of the Late Proliferation Period.,,,,,,
stationFlairGenericInhabited,"concept: addStationFlair, station_inhabited: true",,,[i]$name[/i] establishes communications.,,,,,,
stationFlairGenericAbandoned,"concept: addStationFlair, station_abandoned: true",,,[i]$name[/i] doesn't attempt to establish communications. ,,,,,,
,,,,,,,,,,
stationDockingAccessOption,"concept: populateStationOptions, station_inhabited: true, station_available: true",,,,Request docking access: stationDockingAccess,,,,,
stationSalvageOption,"concept: populateStationOptions, station_abandoned: true, station_available: true",,,,Scout for salvage: stationSalvage,,,,,
stationDockingAccess,"concept: optionSelected, option: stationDockingAccess",closeDialog: DOCK_WITH_STATION,,,,,,,,
stationPostSalvageLeave,"concept: optionSelected, option: stationPostSalvageLeave",closeDialog: POST_SALVAGE_LEAVE,,,,,,,,
,,,,,,,,,,
stationSalvage,"concept: optionSelected, option: stationSalvage",,,,,,stationSalvageDispatch,,,
stationSalvageGeneric,concept: stationSalvageDispatch,,,A number of useful articles are found.,Leave:stationPostSalvageLeave,,,stationSalvageGenericDispatch,,
